municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Cadalso de los Vidrios                      ;2020/04/14 07:00:00;;65,72;6;197,17;318
Hoyo de Manzanares                          ;2020/04/14 07:00:00;8;104,43;19;248,01;724
Torrejón de la Calzada                      ;2020/04/14 07:00:00;8;92,8;21;243,59;1492
Estremera                                   ;2020/04/14 07:00:00;;411,86;6;494,23;552
Corpa                                       ;2020/04/14 07:00:00;;0;6;1438,85;480
Meco                                        ;2020/04/14 07:00:00;23;164,5;116;829,64;838
Madarcos                                    ;2020/04/14 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/14 07:00:00;;124,46;;248,91;1837
Arganda del Rey                             ;2020/04/14 07:00:00;114;196,74;275;474,6;148
Collado Mediano                             ;2020/04/14 07:00:00;10;152,14;15;228,21;468
Daganzo de Arriba                           ;2020/04/14 07:00:00;10;92,3;35;323,06;534
Manzanares El Real                          ;2020/04/14 07:00:00;10;115,37;28;323,03;822
Buitrago del Lozoya                         ;2020/04/14 07:00:00;;44,15;11;485,65;278
Valdelaguna                                 ;2020/04/14 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/14 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/14 07:00:00;;88,03;9;264,08;360
Miraflores de la Sierra                     ;2020/04/14 07:00:00;8;144,98;30;543,68;856
Paracuellos de Jarama                       ;2020/04/14 07:00:00;24;104,31;61;265,11;1049
El Vellón                                   ;2020/04/14 07:00:00;;140,85;11;774,65;1684
Lozoya                                      ;2020/04/14 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/14 07:00:00;108;155,9;274;395,53;474
Colmenarejo                                 ;2020/04/14 07:00:00;13;160,71;26;321,42;442
Villavieja del Lozoya                       ;2020/04/14 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/14 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/14 07:00:00;;164,96;10;329,92;301
Sevilla la Nueva                            ;2020/04/14 07:00:00;29;291,49;43;432,2;1415
La Acebeda                                  ;2020/04/14 07:00:00;;0;;0;14
Redueña                                     ;2020/04/14 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/14 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/14 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/14 07:00:00;7;97,26;21;291,79;437
Rozas de Puerto Real                        ;2020/04/14 07:00:00;;255,1;;255,1;1283
Valdemanco                                  ;2020/04/14 07:00:00;;135,14;;135,14;1586
Brunete                                     ;2020/04/14 07:00:00;10;88,56;51;451,65;262
Titulcia                                    ;2020/04/14 07:00:00;;100,6;;503,02;1473
Villa del Prado                             ;2020/04/14 07:00:00;27;409,28;54;818,55;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/14 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/14 07:00:00;7;356,6;14;713,19;1198
Valdemoro                                   ;2020/04/14 07:00:00;79;103,41;564;738,24;1610
Tres Cantos                                 ;2020/04/14 07:00:00;127;264,31;262;545,27;9036
Torrelaguna                                 ;2020/04/14 07:00:00;9;177,87;14;276,68;1512
Rivas-Vaciamadrid                           ;2020/04/14 07:00:00;138;160,22;450;522,46;1230
El Atazar                                   ;2020/04/14 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/14 07:00:00;9;162,63;15;271,05;1087
Santa María de la Alameda                   ;2020/04/14 07:00:00;;105,71;;105,71;1356
Horcajuelo de la Sierra                     ;2020/04/14 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/14 07:00:00;53;203,15;130;498,29;151
Moralzarzal                                 ;2020/04/14 07:00:00;23;176,62;52;399,32;908
Canencia                                    ;2020/04/14 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/14 07:00:00;10;131,22;33;433,01;1809
Serranillos del Valle                       ;2020/04/14 07:00:00;10;263,23;25;658,07;1408
Villaviciosa de Odón                        ;2020/04/14 07:00:00;34;122,57;148;533,53;1816
Camarma de Esteruelas                       ;2020/04/14 07:00:00;;70,25;35;491,78;323
Robledo de Chavela                          ;2020/04/14 07:00:00;7;185,68;12;318,3;1258
Patones                                     ;2020/04/14 07:00:00;;655,02;;873,36;1071
Navalagamella                               ;2020/04/14 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/14 07:00:00;;203,67;;339,44;1202
El Boalo                                    ;2020/04/14 07:00:00;13;205,53;24;379,45;231
Majadahonda                                 ;2020/04/14 07:00:00;95;121,84;351;450,18;800
Batres                                      ;2020/04/14 07:00:00;;224,72;8;1797,75;170
Alcobendas                                  ;2020/04/14 07:00:00;220;181,5;509;419,92;66
Alcalá de Henares                           ;2020/04/14 07:00:00;378;180,82;2049;980,17;53
Colmenar Viejo                              ;2020/04/14 07:00:00;145;287,68;264;523,78;455
San Fernando de Henares                     ;2020/04/14 07:00:00;111;264,12;308;732,86;1300
Villalbilla                                 ;2020/04/14 07:00:00;10;89,49;81;724,83;1723
El Escorial                                 ;2020/04/14 07:00:00;17;102,27;49;294,77;549
Colmenar del Arroyo                         ;2020/04/14 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/14 07:00:00;159;114,98;823;595,13;1489
Piñuécar-Gandullas                          ;2020/04/14 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/14 07:00:00;;136,05;;408,16;259
El Molar                                    ;2020/04/14 07:00:00;14;145,92;25;260,58;869
Belmonte de Tajo                            ;2020/04/14 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/14 07:00:00;19;230,58;60;728,16;1548
Somosierra                                  ;2020/04/14 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/14 07:00:00;21;145,5;73;505,79;105
Orusco de Tajuña                            ;2020/04/14 07:00:00;8;724,64;16;1449,28;1028
La Hiruela                                  ;2020/04/14 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/14 07:00:00;;925,93;;1851,85;395
Getafe                                      ;2020/04/14 07:00:00;331;172,94;895;467,61;650
Ribatejada                                  ;2020/04/14 07:00:00;;227,79;;455,58;1224
Villaconejos                                ;2020/04/14 07:00:00;;0;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/14 07:00:00;;75,43;12;301,73;1646
Madrid-Retiro                               ;2020/04/13 07:00:00;363;375,65;1098;1136,27;79603
Madrid-Salamanca                            ;2020/04/13 07:00:00;379;240,88;1143;726,45;79604
Madrid-Centro                               ;2020/04/13 07:00:00;302;212,33;792;556,85;79601
Madrid-Arganzuela                           ;2020/04/13 07:00:00;400;224,21;1146;642,37;79602
Madrid-Chamartín                            ;2020/04/13 07:00:00;427;290,7;1125;765,91;79605
Madrid-Tetuán                               ;2020/04/13 07:00:00;659;403,11;1574;962,82;79606
Madrid-Chamberí                             ;2020/04/13 07:00:00;378;254,58;1016;684,26;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/13 07:00:00;937;417,3;2153;958,85;79608
Madrid-Moncloa-Aravaca                      ;2020/04/13 07:00:00;311;245,11;847;667,54;79609
Madrid-Latina                               ;2020/04/13 07:00:00;702;281,28;1902;762,11;79610
Madrid-Carabanchel                          ;2020/04/13 07:00:00;594;241,05;1832;743,45;79611
Madrid-Usera                                ;2020/04/13 07:00:00;328;220,95;1071;721,45;79612
